0: throw
1: protest
2: raise
3: robbery
4: fight
5: fall
6: assault
7: vandalism
8: kidnap
9: stabbing

fall
1_078_1_03_2, 05
1_084_1_03_2, 05
1_085_1_falling_3, 05
1_090_1_03_1, 05
2_074_1_03_8, 05
3_086_1_03_7, 05
4_089_1_03_5, 05

fight
000211_04_5, 04
000211_04_6, 04
000220_04_1, 04
000220_04_2, 04
2_065_04_1, 04
2_065_04_5, 04
2_086_04_1, 04
2_086_04_2, 04
3_076_04_3, 04
3_076_04_4, 04

robbery
1_075_1_05_3, 03
3_081_1_05_20, 03
3_091_1_05_10, 03
4_085_1_05_10, 03
4_086_1_05_10, 03
4_095_1_05_4, 03
4_108_1_05_5, 03

protest
000219_06_3, 01
000219_06_5, 01
000219_06_7, 01

raise
RWF2000_a2qLzOu_n0s_0_07_2, 02
RWF2000_a2qLzOu_n0s_2_07_2, 02
1_094_1_raise_07_1, 02
1_094_1_raise_07_7, 02
1_094_1_raise3_07_1, 02
1_094_1_raise3_07_3, 02
1_094_1_raise4_07_3, 02
1_094_1_raise4_07_6, 02
3_102_1_raise2_07_4, 02
3_102_1_raise2_07_5, 02

throw
1_074_1_09_2, 00
1_076_1_09_2, 00
1_080_1_09_1, 00
2_072_1_09_9, 00
2_092_1_09_1, 00
3_082_1_09_16, 00
3_084_1_09_7, 00
3_088_1_09_1, 00
4_103_1_throwing_09_4, 00
